履歴を	表示
ことを	発見した
発見した	異っていた
白人と	黒人の
黒人の	両方の
両方の	誤り率は
誤り率は	調整されたが
ちょうど	61%に
61%に	調整されたが
等しく	調整されたが
調整されたが	異っていた
誤りの	実態は
実態は	異っていた
異っていた	[201]。
システムは	過大評価し
一貫して	過大評価し
黒人の	再犯可能性を
再犯可能性を	過大評価し
過大評価し	[201]。
白人の	再犯可能性を
再犯可能性を	過小評価していた
過小評価していた	[
[	199]。2017年
199]。2017年	数人の
数人の	研究者[注釈
研究者[注釈	5]は
5]は	[201]。
データ内の	白人と
白人と	黒人の
黒人の	基本再犯率が
基本再犯率が	異なる
異なる	場合
場合	[201]。
COMPASが	考えられる
公平性の	考えられる
考えられる	尺度に
あらゆる	尺度に
尺度に	対応する
対応する	ことは
ことは	不可能である
数学的に	不可能である
不可能である	ことを
ことを	示した
示した	[201]。
データに	ある
問題の	ある
ある	特徴
特徴	性別などが
人種や	性別などが
性別などが	記載されていない
明示的に	記載されていない
記載されていない	場合でも
場合でも	ある
プログラムは	下す
バイアスを	含んだ
含んだ	決定を
決定を	下す
下す	可能性が
可能性が	ある
ある	[203]。
この	特徴は
特徴は	あり
他の	特徴
特徴	住所
住所	買い物履歴または
買い物履歴または	名前などと
名前などと	あり
相関関係が	あり
あり	[203]。
プログラムは	[203]。
これらの	特徴に
特徴に	基づいて
基づいて	下す
人種や	性別と
性別と	同じ
同じ	決定を
決定を	下す
下す	[
[	202]。モーリッツ・ハートは
202]。モーリッツ・ハートは	[203]。
この	研究分野における
研究分野における	確実な
最も	確実な
確実な	事実は
事実は	ことであると
ブラインドによる	公平性は
公平性は	機能しないという
機能しないという	ことであると
ことであると	述べた
述べた	[203]。
アメリカの	保険会社ユナイテッドヘルスケアは
保険会社ユナイテッドヘルスケアは	主張した
人工知能を	使用して
使用して	行った
請求拒否の	自動化を
自動化を	行った
行った	[
[	204]。2023年
204]。2023年	11月に
11月に	提起された
ユナイテッドヘルスグループに対して	提起された
提起された	集団訴訟では
集団訴訟では	採用したと
同社が	持つ
90％の	誤り率を
誤り率を	持つ
持つ	AIモデルを
AIモデルを	採用したと
意図的に	採用したと
採用したと	主張した
原告らは	主張した
主張した	[205]。
このような	同社の
同社の	ビジネス慣行は
ビジネス慣行は	[205]。
ユナイテッドヘルスケアCEO射殺事件に	結び付けられた
結び付けられた	[205]。
膨大な	電力需要と
電力需要と	気候変動への
気候変動への	影響
国際エネルギー機関	IEAは
IEAは	IEAレポートである
2024年	1月
1月	発表した
世界の	電力使用量を
電力使用量を	予測する
予測する	レポートを
レポートを	発表した
発表した	206]。これは
[	206]。これは
206]。これは	IEAレポートである
データセンターや	人工知能
人工知能	暗号通貨の
暗号通貨の	電力消費量を
電力消費量を	予測した
予測した	初の
初の	IEAレポートである
IEAレポートである	[207]。
レポートに	よると
よると	[207]。
これらの	用途の
用途の	電力需要は
電力需要は	倍増し
2026年までに	倍増し
倍増し	あるという
その	電力使用量は
電力使用量は	あるという
日本全体の	電力使用量に
電力使用量に	匹敵する
匹敵する	可能性が
可能性が	あるという
あるという	[207]。
AIによる	電力消費は
膨大な	電力消費は
電力消費は	原因であり
化石燃料の	使用増加の
使用増加の	原因であり
原因であり	なっている
旧型火力発電所の	閉鎖を
閉鎖を	遅らせる
遅らせる	可能性が
可能性が	あり
あり	急増しており
温室効果ガスの	排出と
排出と	促進が
地球温暖化の	促進が
促進が	懸念されている
懸念されている	[
[	208][25][209]。米国全土で
208][25][209]。米国全土で	急増しており
データセンターの	建設が
建設が	急増しており
急増しており	なっている
大手テクノロジー企業	Amazonなどは
Microsoft	Meta
Meta	Google
Google	Amazonなどは
Amazonなどは	なっている
莫大な	電力の
電力の	消費者と
消費者と	なっている
なっている	懸念されている
予測される	電力消費量は
電力消費量は	膨大である
非常に	膨大である
膨大である	ため
ため	懸念されている
供給源に	関係なく
関係なく	懸念されている
不足が	懸念されている
懸念されている	必要である
ChatGPTによる	検索には
検索には	必要である
Google検索の	10倍の
10倍の	電力消費量が
電力消費量が	必要である
必要である	急いでいる
大手企業は	急いでいる
原子力発電から	地熱発電
地熱発電	至るまで
核融合に	至るまで
至るまで	急いでいる
電力源の	確保を
確保を	急いでいる
急いでいる	ない
テクノロジー企業は	主張しているが
長期的には	優しくなると
AIが	優しくなると
最終的に	優しくなると
環境に	優しくなると
優しくなると	主張しているが
主張しているが	ない
現時点では	ない
解消の	見込みは
見込みは	ない
ない	[215]。
テック企業は	[215]。
AIは	[215]。
電力網を	し
より	効率的で
効率的で	し
インテリジェントに	し
し	助け
原子力発電の	成長を
成長を	助け
助け	削減すると
全体的な	炭素排出量を
炭素排出量を	削減すると
削減すると	主張する
主張する	210]。AI向け半導体の
[	210]。AI向け半導体の
210]。AI向け半導体の	最大手エヌビディアの
